dataset,N,n_groups,construct_proximity,construct_proximity_note,profile,dimensions_passed,iid_r2_linear,iid_r2_std_linear,group_r2_linear,group_r2_std_linear,iid_to_group_r2_gap,group_r2_retention,I_linear,beat_rate_linear,perm_sig_rate
MM-TBA,186,0,2,mixed transcript and metadata features,Fragile,0,-0.06747713601102151,0.1792345622848102,,,,,2.211802064415224,0.8,0.23333333333333334
Higher Ed,145,9,1,distal course and student descriptors,Partial,1,0.04082775494571757,0.2664661501537265,-8.786817980707909,6.385005124529841,8.827645735653626,-215.21678065302387,0.8949668617862571,0.83,0.7333333333333333
xAPI-Edu,480,12,3,behavioral engagement and platform traces,Mostly Passing,3,0.5989787656099662,0.0680986800106508,-2.031168683665913,0.8536960469919196,2.630147449275879,-3.3910529058529897,0.12387820405288315,1.0,1.0
Entrance Exam,666,3,2,mixed entrance and education-board features,Mostly Passing,3,0.4380572240675013,0.06254619828749088,-3.324115892964663,0.7422794677918471,3.762173117032164,-7.588314289396223,0.11698288152109586,1.0,1.0
UCI Student,649,2,1,distal demographic and school-context features,Mostly Passing,3,0.2624548798919234,0.06969547530386544,-25.36234473576298,5.720983316637435,25.624799615654904,-96.63506636343348,0.3625106051360662,1.0,1.0
Dropout,3630,17,3,administrative and performance-proximal records,Strong,4,0.6511594692180069,0.02084814361787363,0.5266309188610478,0.29702530091328405,0.12452855035695909,0.8087587507457913,0.02088758428996114,1.0,1.0
OULAD,32593,22,3,assessment and VLE behavioral traces,Strong,4,0.4711835482992683,0.008153561784685343,0.40956538397762493,0.162117981058229,0.061618164321643354,0.8692268341200506,0.010462262353851911,1.0,1.0
