seed,mae,r2,pearson
0,0.3400659075862377,0.5640714259640488,0.7752907989648328
1,0.38141763153227076,0.4597115269176284,0.7610087610541606
2,0.3930553048188594,0.4697903572938542,0.7134288339776023
3,0.3229535729643958,0.6641353080814105,0.818267879164184
4,0.42259000822905163,0.4301058572533083,0.6760458796527502
5,0.36995412749791196,0.6696884156718351,0.822745813263236
6,0.3493742964890753,0.5909918766054609,0.7851387672376293
7,0.38820427421107556,0.5905184715953388,0.775079742841488
8,0.36310576285444646,0.5639013562753252,0.7712286160636582
9,0.3660761393209003,0.6231425432127241,0.7922334249719826
10,0.3686346450530884,0.48893483648229175,0.7534078711594046
11,0.31694728759774526,0.6620797414678999,0.826763019367987
12,0.3297817510712315,0.6774715525111067,0.8262407490641761
13,0.3645082077849951,0.6665518294526911,0.8277978150008295
14,0.3404880091426749,0.6600076475124588,0.8155751887943408
15,0.353673448320117,0.6205669907441956,0.7980566135305748
16,0.39236682856303734,0.5554537191512913,0.7585875081791944
17,0.36171882902854335,0.6630519535625712,0.8189372006096493
18,0.3203992902634,0.6880214057412956,0.8310338680389708
19,0.3954993809068517,0.5495378506982871,0.7454635852125902
20,0.3210178543768671,0.7221525850201562,0.8513183293640958
21,0.3868547552931421,0.5895883161889766,0.7771978887738978
22,0.3436084227327914,0.632642002779227,0.8092566037305752
23,0.35183863175914576,0.5671999124174025,0.7763600279513948
24,0.3447683373561438,0.6256325391638675,0.7995475500011215
25,0.4078525912324247,0.4716265060117658,0.696487481979553
26,0.34335331291299115,0.6279566408183598,0.8002918789848582
27,0.3673662133936872,0.6080311280955777,0.7821366728556817
28,0.3545621454835592,0.6087084699683669,0.783180477042114
29,0.3764237823521082,0.6548914959298984,0.815991547972976
30,0.3383848922388642,0.6454118622054772,0.8119061662328335
31,0.3724042386514161,0.45215350908588936,0.7242417453308362
32,0.3518525868693246,0.6198203338160508,0.7911269574948241
33,0.3615779038326253,0.6000937346511881,0.7761396374850412
34,0.3657701047411926,0.6448227167617484,0.8147632439146361
35,0.4066137681462261,0.4624965853615397,0.6991601041257088
36,0.4156981704343772,0.45758702403575346,0.7137079747126257
37,0.4011065837339654,0.5219796815157666,0.7497824309016893
