dataset,seed,mae,r2,pearson
Dropout,38,0.2065206207075897,0.6549056407476568,0.8104088606353782
Dropout,39,0.2115414602120265,0.6217277062482527,0.7910318155601594
Dropout,40,0.2045133618732708,0.6621372937561758,0.8138323815516149
Dropout,41,0.2198208202694787,0.5972758108824747,0.7749661110951652
Dropout,42,0.2050895674088008,0.6741964017979712,0.8211187461612153
Dropout,43,0.2001457357969089,0.6617827216718457,0.8135583475967383
Dropout,44,0.203971908535495,0.648579514382807,0.805424447727938
Dropout,45,0.2120946106772761,0.6395498778534647,0.7998232523268596
Dropout,46,0.2062121346946611,0.6500044196909838,0.8064708902802744
Dropout,47,0.210349814925007,0.6252894056922773,0.7914499693795274
Dropout,48,0.2120231748859642,0.6330401764030935,0.7966407170657884
Dropout,49,0.2103085352843361,0.6385390877836618,0.8000640117767511
Dropout,50,0.1999907067073783,0.6767802699369979,0.8230357300970657
Dropout,51,0.2113833903201527,0.6206792309301952,0.7884615110341415
Dropout,52,0.2045738025362753,0.6420666199162048,0.8014354110950612
Dropout,53,0.2039554931258086,0.6754057136092536,0.8237817467670635
Dropout,54,0.2107354040242114,0.633456516303307,0.7963397105861347
Dropout,55,0.2078249750094603,0.642019555396768,0.8014246897878099
Dropout,56,0.2067273836652589,0.6494179817566113,0.8070613537001808
Dropout,57,0.2096643772123119,0.6393478200061518,0.8017092906414035
Dropout,58,0.2073596640474747,0.6508741058078946,0.8073476595641992
Dropout,59,0.1945095891612302,0.6736283001144773,0.8210365372117514
Dropout,60,0.2042584044590347,0.6553590987774188,0.8095452383411671
Dropout,61,0.2103464364903908,0.6391858571929,0.7997389366738609
Dropout,62,0.2145979217774121,0.6203742045044133,0.7883255867266181
Dropout,63,0.2184401268440326,0.5993463244130434,0.7743841308855726
Dropout,64,0.2000684326424388,0.6743507515691568,0.8216113864950864
Dropout,65,0.211623369193638,0.6276547555395569,0.7924512663259407
Dropout,66,0.2005105741154367,0.6586571961294246,0.8120393745458261
Dropout,67,0.2114484707652727,0.6372154088794251,0.798281308714343
Dropout,68,0.208524424601411,0.6472539091837751,0.8058380126263794
Dropout,69,0.2092142396164123,0.6493496929859932,0.8059357411728959
Dropout,70,0.2089566337926537,0.6342728468883506,0.798793026736469
Dropout,71,0.1964579717977991,0.680408656962595,0.8248722097110702
Dropout,72,0.2008801046656105,0.6724730907944919,0.8201803394924235
Dropout,73,0.2058166052300286,0.652671003697183,0.8078987395437766
Dropout,74,0.200655699300743,0.652663861972548,0.8086847489527739
Dropout,75,0.2028298130119884,0.6619350917185595,0.8153093945594512
Dropout,76,0.2059083150389706,0.6739393795261817,0.823664399245338
Dropout,77,0.2092334399072292,0.6443822952404511,0.803632429949171
Dropout,78,0.2058711858880352,0.6513589515384672,0.8071447665110735
Dropout,79,0.2125371238680374,0.6340594569370459,0.7965644348776045
Dropout,80,0.2015666552271109,0.6796078693441682,0.8256902164190685
