seed,mae,r2,pearson
0,0.5823544476684452,0.45617722975186936,0.6952461199853134
1,0.5739657151579006,0.5180461143312405,0.7209040307632684
2,0.5552389430326071,0.5449439550574307,0.739928194353515
3,0.5817078322792933,0.5091476527444907,0.7158123555893326
4,0.5647367689416753,0.41320951585390564,0.658935847966797
5,0.6028708204497035,0.3495411850829957,0.6175359199599734
6,0.6023498682025663,0.4545509498807707,0.6846525072984859
7,0.5830500009981388,0.4562924836563733,0.6758557409653363
8,0.5799625978172184,0.4225691185934559,0.6567720028968113
9,0.6308749737047377,0.4560581235322835,0.6797534689963582
10,0.6451399854125535,0.39701655424097904,0.6377999777468458
11,0.5430524326680726,0.5059372135106778,0.7138742701907692
12,0.5889178122954847,0.4574152709942265,0.6826334050098023
13,0.5522863323872927,0.5011299768891772,0.7124081490074857
14,0.6336059797981819,0.3684766567672898,0.6215531565068658
15,0.6085262320905815,0.4187648610994965,0.6520671327873869
16,0.6344401938259839,0.4459337037287041,0.6678241639113993
17,0.6556403846858733,0.3586347020662862,0.6140876498312162
18,0.5821699850954547,0.47003508393120197,0.6856688131414925
19,0.613504587471822,0.4015695284179709,0.6399531622187108
20,0.6019462659009307,0.4621023107221832,0.6807559748826757
21,0.6039888077158841,0.4124787438975436,0.6517393453593089
22,0.5488676904377925,0.5316551715000333,0.729863435649826
23,0.619765897459461,0.4054269777616436,0.6404902714621289
24,0.6689501070729125,0.2902972810458213,0.5732688419209393
25,0.6397929669886047,0.39078954250004605,0.6491284505322299
26,0.6103077636419698,0.4305333505769988,0.657614708376701
27,0.5977520991430686,0.4090176421500725,0.6476739829604979
28,0.6540850658589776,0.41495580803386456,0.6549157406220448
29,0.5672796634774829,0.47730914918629186,0.7068007962529753
30,0.5748197046140816,0.5178735807929358,0.7206465918462827
31,0.6021606108827918,0.4462144164540346,0.6712880109126731
32,0.6054262328437856,0.46688303110311,0.6911825255789151
33,0.6093269065860435,0.4712403887835107,0.688331311151702
34,0.5712685111592601,0.49107316834486625,0.7057481920434358
35,0.567392191894478,0.3978353049489368,0.6535148855250505
36,0.6393803981440087,0.3465692480319875,0.6019962080279201
37,0.6031725266964741,0.5313460394285854,0.7304387164088035
38,0.5688706713350656,0.4460397257839127,0.6875688930560334
39,0.5662582569546785,0.5188356612145554,0.7213959252915425
40,0.62124085735363,0.37233405586784796,0.6212109600397835
41,0.5991246735853885,0.4882425436713502,0.7019407192063449
42,0.5977087073211336,0.45412674539278675,0.677363126863453
43,0.5868671898529874,0.5240150345347085,0.7274548906129514
44,0.5884724336969614,0.46786440439166177,0.6848841018108116
45,0.6090017850161751,0.333033475010414,0.5888795796753953
46,0.6292400828804061,0.40048301575543455,0.6415391525269624
47,0.65108502908283,0.35340972241626145,0.612263537429838
48,0.5971016553957085,0.48424006066839453,0.7021637941554157
49,0.5934290073140155,0.41982725164060397,0.6506055433977947
50,0.6080008796150238,0.43943369212257943,0.6785273069713227
51,0.6556407574024559,0.36237750449871886,0.6115942509620094
52,0.5725052977699133,0.4498123970989295,0.6732117075776668
53,0.5539167687956859,0.5176528084532499,0.7196729416975951
54,0.5859926508607983,0.38339164394284353,0.6362539661873251
55,0.5899214655061064,0.4576702588842454,0.6841029740498885
56,0.5916045130694838,0.4742327697378568,0.6890089952069564
57,0.5973451832464519,0.4798483072597062,0.6944882895031516
58,0.60597579700645,0.4151796840506231,0.6569615157073037
59,0.5749017199117,0.4697208946173431,0.6950192145075481
60,0.6269211961797394,0.49249877486142657,0.7056895921949198
61,0.5631322468430755,0.5349553671965352,0.7499620957204033
62,0.5797036824519644,0.42017831380903503,0.6512132055113453
63,0.5868791918744207,0.43588423517284247,0.6623776697552277
64,0.5477350753727402,0.4092332406945073,0.6799539333052668
65,0.6378733432512103,0.3230761319125889,0.6036076468881804
66,0.6214972682094817,0.40588378347868526,0.6547573874207336
67,0.6289141885065259,0.3414064480466974,0.6064951358415489
68,0.5832065887164538,0.47649752809621837,0.692028498501063
69,0.580449952519496,0.4714564338019591,0.6947644807744643
70,0.5924207202069754,0.40973337085545736,0.6469360704201079
71,0.6162159008801978,0.4256343920932446,0.6542482333113562
72,0.566177659168496,0.38690406238653785,0.6442815680977275
73,0.5702343935683282,0.4807678948655554,0.6959926929004949
74,0.5710557223021966,0.4748001466165125,0.6950134676897467
75,0.5354683873211717,0.529755467138344,0.7286535032629777
76,0.620830990565661,0.37037955227426467,0.6193253550081861
77,0.6022420768915974,0.38199905977406967,0.6440906748715407
78,0.5809602108238844,0.5338368552685986,0.7361395587361592
79,0.55583231500203,0.5323316707947222,0.7323921584293203
80,0.6360947426116523,0.31154862023538044,0.5978648098945025
81,0.5636446431862029,0.49115441270559523,0.710883199805796
82,0.5971958723460786,0.4144837999017258,0.6493365944888283
83,0.6814191545296489,0.261121193884546,0.5421687753014421
84,0.6036382244654447,0.4220348248116388,0.6518754394383868
85,0.594441662241995,0.41358428339793996,0.65147255858395
86,0.6340403204052069,0.4521582221891107,0.6799632419822257
87,0.6679382952097122,0.3152467033635723,0.6039540569154239
88,0.6823069398681864,0.3276119125078253,0.5765338463222187
