dataset,N,n_groups,construct_proximity,construct_proximity_note,profile,dimensions_passed,iid_r2_linear,iid_r2_std_linear,group_r2_linear,group_r2_std_linear,iid_to_group_r2_gap,group_r2_retention,I_linear,beat_rate_linear,perm_sig_rate
MM-TBA,186,0,2,mixed transcript and metadata features,Fragile,0,-0.06747713601102197,0.17923456228480977,,,,,2.2118020644152367,0.8,0.23333333333333334
Higher Ed,145,9,1,distal course and student descriptors,Partial,1,0.04082775494571766,0.26646615015372616,-8.78681798070791,6.385005124529852,8.827645735653627,-215.21678065302345,0.8949668617862568,0.83,0.7333333333333333
xAPI-Edu,480,12,3,behavioral engagement and platform traces,Mostly Passing,3,0.6139722240616914,0.06809868001065074,0.48424352844138824,0.2390469497174178,0.12972869562030315,0.7887059209908686,0.12387820405288298,1.0,1.0
Entrance Exam,666,3,2,mixed entrance and education-board features,Mostly Passing,3,0.4380572240675013,0.06254619828749085,-0.05946432365903324,0.38289479627632644,0.49752154772653456,-0.13574556106366192,0.11698288152109566,1.0,1.0
UCI Student,649,2,1,distal demographic and school-context features,Mostly Passing,3,0.24168288898213625,0.06969547530386562,-0.09692793122856236,0.10894812028390544,0.3386108202106986,-0.4010541732465251,0.362510605136067,1.0,1.0
Dropout,3630,17,3,administrative and performance-proximal records,Strong,4,0.6511594692180069,0.02084814361787364,0.5266309188610491,0.2970253009132812,0.12452855035695787,0.8087587507457932,0.020887584289961222,1.0,1.0
OULAD,32593,22,3,assessment and VLE behavioral traces,Strong,4,0.47118354829926834,0.008153561784685353,0.4095653839776249,0.1621179810582289,0.061618164321643465,0.8692268341200504,0.010462262353851878,1.0,1.0
