seed,mae,r2,pearson
0,0.29980446696137014,0.4593349643574478,0.6777831422688244
1,0.2964224822436763,0.4716718859105379,0.6870099363242465
2,0.29388491210537826,0.4823821346847814,0.6947383639274677
3,0.2980279197474089,0.466645661438862,0.6831966314242325
4,0.29439348359643297,0.4746181547919456,0.6889353580166799
5,0.2981670912626946,0.4684310415794589,0.6844625622883346
6,0.2940827329150299,0.4749431525178722,0.6892311389500476
7,0.2972517086138966,0.459746540076039,0.6783413112428864
8,0.30020328689083225,0.4538052073857831,0.6740000806172751
9,0.2948963569133718,0.4675311369144347,0.6839199485158524
10,0.29719906417970454,0.4672458491813172,0.6836553106931502
11,0.29597321628434486,0.48129125171057263,0.6944427868992851
12,0.29631186522152786,0.47718029357412384,0.6911767235370897
13,0.29362527387097137,0.48357560069507044,0.6955561994024883
14,0.2943530709534774,0.48252968542808716,0.6949326811406088
15,0.2966512441692724,0.46048716614743257,0.6788943511352498
16,0.29525557298354493,0.47679247581941486,0.6905354433735729
17,0.2991725008203856,0.4626062480938383,0.6802350467551566
18,0.29331173377635583,0.47945302929989353,0.6924494162823684
19,0.2968131105424415,0.462975021207757,0.6805152343052179
20,0.29525252952035236,0.47036097707342794,0.6859699370369803
21,0.29725650975856,0.4687533235322766,0.6846621788136313
22,0.30014165736465137,0.45949808299636485,0.6779118003262626
23,0.2955394963836497,0.473206060469505,0.6880699278031823
24,0.2998418951059825,0.46285833248849406,0.6803580619254981
25,0.2922214574486669,0.4828116281693108,0.6950047978447361
26,0.29759088689026636,0.4686027679087622,0.6846816570592569
27,0.2931208409664891,0.4777154210391634,0.6913056006974265
28,0.29697185989264674,0.46713050082384777,0.6835427594624968
29,0.2943554505077826,0.4823406851524126,0.6948160143307694
30,0.2999387320783196,0.4611651471833218,0.6791413102668757
31,0.2950973441629262,0.4716984771378281,0.6868910799622497
32,0.2975187461341813,0.4683827620193325,0.6844438632518997
33,0.2947733151206324,0.47024302486313696,0.6858167769105858
34,0.2956671649586539,0.47065441357534543,0.6861338089039457
35,0.29529060012858555,0.4711976626776765,0.686543241121655
36,0.30091136567658333,0.4557977403663519,0.6755564931605038
37,0.29451215824583327,0.4790044040174639,0.6921199373506222
38,0.29628249079450575,0.4627842989223716,0.680454708274843
39,0.29729436371530427,0.4738430703352666,0.6885557622313989
40,0.2970939325525374,0.4693092990437785,0.685085359345505
41,0.29704475921905504,0.4690253908337183,0.6848916017386406
42,0.29604035993305133,0.4599592958137507,0.6785239546290894
43,0.2979649532009011,0.4650489852461559,0.6819589332074701
44,0.29666835991481355,0.4713069934975739,0.686579747446666
45,0.29873115507581294,0.46217528642140926,0.6800048469945198
46,0.29573219337103124,0.4743116266647801,0.6888379810408711
47,0.29396862622970826,0.47647804385612236,0.6903854567050487
48,0.2967832549536623,0.4721096823952634,0.6871051752060463
49,0.2930590571313387,0.4831826456531393,0.6953191400749779
50,0.29796584773146245,0.47145436421995834,0.6871648036747172
51,0.2971316084722185,0.464014925894643,0.681553181726956
52,0.2977268475726078,0.46549593638894415,0.682370201650375
53,0.2983207929905125,0.4617317004525766,0.6795247725164805
54,0.29241094180650523,0.48055273694138045,0.6932265647052317
55,0.29776714510181973,0.469447895510373,0.6852250352001412
56,0.29709293761967254,0.47714527727188705,0.6912063755716225
57,0.29728565537904766,0.46704869294236295,0.6834148309063688
58,0.2902716646493982,0.494152143093594,0.7035832362735971
59,0.2964698487281798,0.470552763971269,0.6861263919634477
60,0.29390548244810244,0.47848035131743394,0.6918175371465671
61,0.293483806077225,0.4838158877035982,0.6959251459273489
62,0.2963996723606536,0.46864637611292337,0.6846167275660292
63,0.29516550028003463,0.4737816544761023,0.6883276190669446
64,0.29926103139620397,0.4624579318975728,0.6800438707158716
65,0.29443670337528866,0.4708672973060507,0.6862643776089193
66,0.29488787257449167,0.4750069681869089,0.6892541515612741
