seed,mae,r2,pearson
0,0.20040066289181416,0.6566228809588432,0.810934579134346
1,0.20339611418615175,0.6597988617372224,0.812637501239566
2,0.204595239097491,0.6528804701865896,0.8082837804246327
3,0.2124964102053898,0.6327873138222267,0.7956480540027264
4,0.19737510112201037,0.6848974941223378,0.8288746319872445
5,0.20258161791500004,0.6670398205470641,0.8168657186842335
6,0.19725002731140806,0.6672598675100632,0.8172321939649534
7,0.2100869488087062,0.6518799122526562,0.8081070078115216
8,0.2083614711690373,0.6342285119840403,0.7966814514220383
9,0.2028635564449693,0.6469204100613314,0.805285614031815
10,0.2107085669786082,0.627491248502564,0.7931389624399463
11,0.21027079114117136,0.6354984188859378,0.797398254111233
12,0.19550803554503926,0.6934868681038484,0.8333202707264966
13,0.20181702790391867,0.6561552916741717,0.8102888145704075
14,0.202557825692808,0.67631560932441,0.8227481395283845
15,0.21096776089392982,0.6401886459927258,0.8004035671026971
16,0.20830311913637609,0.6444679163699152,0.8045268186379434
17,0.19565096032633114,0.6916762532922129,0.8329194139062235
18,0.2085181284301476,0.6524677267011505,0.807815759068422
19,0.21616624945479995,0.601674320697758,0.7773599930039318
20,0.21165416616192406,0.6304917003383399,0.7946522567633828
21,0.21260045105799855,0.6433021382254716,0.8027588220085593
22,0.2136685866044079,0.6366379683715144,0.7979558107211666
23,0.20015728250528247,0.6829827006558884,0.8270715880177547
24,0.21411675648327397,0.6421514443174885,0.8017221139382543
25,0.2009704252843307,0.6785202373229273,0.8244052353375214
26,0.20118759677329917,0.6725097337623394,0.8202125454351951
27,0.19627579945690424,0.6929495180769321,0.8324524396515314
28,0.20561341811583714,0.6516940603122288,0.8072981231334874
29,0.21297081558973144,0.6263227213535287,0.7919071109122141
30,0.20879329183160386,0.6444471098073149,0.803044555417561
31,0.19875395231204715,0.675986993013312,0.8222975488116917
32,0.20526361868434784,0.6674139510476451,0.8189599176149542
33,0.21255553632653673,0.6211751227126471,0.7886637145278015
34,0.2035769295542832,0.6592010107649928,0.8119264681248837
35,0.20197619208067852,0.6593294765241005,0.8121202387899418
36,0.2064094297467978,0.6570274081900056,0.8106208365951006
37,0.2108564924337838,0.6333444775515893,0.7964764494444172
38,0.20652062070758972,0.6549056407476568,0.8104088606353782
39,0.21154146021202658,0.6217277062482527,0.7910318155601594
40,0.20451336187327088,0.6621372937561758,0.8138323815516149
41,0.2198208202694787,0.5972758108824747,0.7749661110951652
42,0.20508956740880088,0.6741964017979712,0.8211187461612153
43,0.20014573579690895,0.6617827216718457,0.8135583475967383
44,0.20397190853549507,0.648579514382807,0.805424447727938
45,0.21209461067727617,0.6395498778534647,0.7998232523268596
46,0.2062121346946611,0.6500044196909838,0.8064708902802744
47,0.21034981492500707,0.6252894056922773,0.7914499693795274
48,0.21202317488596428,0.6330401764030935,0.7966407170657884
49,0.21030853528433613,0.6385390877836618,0.8000640117767511
50,0.19999070670737837,0.6767802699369979,0.8230357300970657
51,0.21138339032015277,0.6206792309301952,0.7884615110341415
52,0.20457380253627538,0.6420666199162048,0.8014354110950612
53,0.2039554931258086,0.6754057136092536,0.8237817467670635
54,0.2107354040242114,0.633456516303307,0.7963397105861347
55,0.20782497500946034,0.642019555396768,0.8014246897878099
56,0.20672738366525892,0.6494179817566113,0.8070613537001808
57,0.20966437721231193,0.6393478200061518,0.8017092906414035
58,0.20735966404747472,0.6508741058078946,0.8073476595641992
59,0.19450958916123026,0.6736283001144773,0.8210365372117514
60,0.2042584044590347,0.6553590987774188,0.8095452383411671
61,0.2103464364903908,0.6391858571929,0.7997389366738609
62,0.21459792177741216,0.6203742045044133,0.7883255867266181
63,0.21844012684403266,0.5993463244130434,0.7743841308855726
64,0.20006843264243881,0.6743507515691568,0.8216113864950864
65,0.21162336919363806,0.6276547555395569,0.7924512663259407
66,0.20051057411543674,0.6586571961294246,0.8120393745458261
67,0.2114484707652727,0.6372154088794251,0.798281308714343
68,0.208524424601411,0.6472539091837751,0.8058380126263794
69,0.20921423961641236,0.6493496929859932,0.8059357411728959
70,0.20895663379265378,0.6342728468883506,0.798793026736469
71,0.1964579717977991,0.680408656962595,0.8248722097110702
72,0.20088010466561054,0.6724730907944919,0.8201803394924235
73,0.20581660523002865,0.652671003697183,0.8078987395437766
74,0.20065569930074303,0.652663861972548,0.8086847489527739
75,0.20282981301198846,0.6619350917185595,0.8153093945594512
76,0.20590831503897064,0.6739393795261817,0.823664399245338
77,0.2092334399072292,0.6443822952404511,0.803632429949171
78,0.2058711858880352,0.6513589515384672,0.8071447665110735
79,0.2125371238680374,0.6340594569370459,0.7965644348776045
80,0.20156665522711098,0.6796078693441682,0.8256902164190685
81,0.20904695138096743,0.6478598484941573,0.8052898140716469
82,0.21378494505444776,0.628270478966404,0.7952788928427214
83,0.21061403686038122,0.6330048482231527,0.7958697199986783
84,0.19834347397469757,0.6618161989408288,0.8136274875499924
85,0.19884740851196273,0.6596776172124497,0.8122742052810115
86,0.2080540655358824,0.6541329613421516,0.8093717088099476
87,0.2075992441788158,0.6495815220872774,0.8068374568361077
88,0.20013506860150618,0.6649112098588199,0.8156690874027156
89,0.20675017994943104,0.6409768481746518,0.8007772049566335
90,0.2198398565402278,0.6128581392926628,0.7835141685762038
91,0.20238186917747145,0.6713982344666914,0.8194507066403156
92,0.2062088178377023,0.628496951845639,0.794395937313289
93,0.21493076100838518,0.6318213047055452,0.7951367509571973
94,0.19938807633730588,0.6717465955345174,0.8197095748095422
95,0.20514330414403723,0.6755568216385783,0.8222006212513248
96,0.20481571451987632,0.6646782632923376,0.8156226690271242
97,0.20175042336437918,0.6471868789537631,0.8046592004651308
98,0.2097577056561341,0.66194780557498,0.8138118706489783
99,0.1978004027664565,0.7035749036370915,0.8397461973050816
