dataset,n_features,spearman_rho_all_mean,spearman_rho_all_sd,spearman_rho_top10_mean,spearman_rho_top10_sd
UCI Student,54,0.49582650962868335,0.09302211121777307,0.5155177352689776,0.24246160758757163
Higher Ed,30,0.28545939933259173,0.1255851869681158,0.4978181818181818,0.24538295501683605
OULAD,46,0.6166907540620299,0.040162584045334,0.7766060606060605,0.08130709101554763
