dataset,seed,mae,r2,pearson
xAPI-Edu,25,0.35213087180913505,0.5745983017303127,0.0
xAPI-Edu,26,0.3994750196646793,0.6537018447059822,0.0
xAPI-Edu,27,0.3664525561008456,0.7161609197145201,0.0
xAPI-Edu,28,0.3696147603645786,0.5048540288776687,0.0
xAPI-Edu,29,0.4022113179740315,0.6257297976703925,0.0
xAPI-Edu,30,0.3541459429026092,0.5281190968602552,0.0
xAPI-Edu,31,0.3396912742900946,0.6313050107392094,0.0
xAPI-Edu,32,0.3519804624357934,0.5900519377311148,0.0
xAPI-Edu,33,0.3744576316053016,0.4742964956459389,0.0
xAPI-Edu,34,0.3241067480595933,0.6621945653936382,0.0
xAPI-Edu,35,0.37907674926000645,0.5577790156621888,0.0
xAPI-Edu,36,0.34972981907170547,0.5626208641193553,0.0
xAPI-Edu,37,0.3918096402313888,0.5261300384629275,0.0
xAPI-Edu,38,0.3034358629148684,0.5544229381145003,0.0
xAPI-Edu,39,0.34354741333962774,0.6281175398104657,0.0
xAPI-Edu,40,0.3210950886793765,0.5860914757927115,0.0
xAPI-Edu,41,0.3425578148042639,0.6213602141350607,0.0
xAPI-Edu,42,0.3693512182680191,0.623625166129528,0.0
xAPI-Edu,43,0.358700363402461,0.6889140810921152,0.0
xAPI-Edu,44,0.3568503171069431,0.5756354812101702,0.0
xAPI-Edu,45,0.35920039982982194,0.4984066977193604,0.0
xAPI-Edu,46,0.3682465024289847,0.6716552034562951,0.0
xAPI-Edu,47,0.3380093142877914,0.5764048586509998,0.0
xAPI-Edu,48,0.3808077303052617,0.67488103983553,0.0
xAPI-Edu,49,0.3797053594910869,0.6250862409639864,0.0
xAPI-Edu,50,0.3727786140007217,0.5900484729032616,0.0
xAPI-Edu,51,0.37705738118736865,0.6227299436140535,0.0
xAPI-Edu,52,0.37056757017391617,0.7318401456387676,0.0
xAPI-Edu,53,0.41394655699125144,0.7404183980463499,0.0
xAPI-Edu,54,0.360999043606828,0.603703529330149,0.0
xAPI-Edu,55,0.35551037545538045,0.609887533564982,0.0
xAPI-Edu,56,0.34437170750121626,0.6722692997078821,0.0
xAPI-Edu,57,0.33741734122123374,0.5413903655420662,0.0
xAPI-Edu,58,0.3321227802581198,0.621660418335925,0.0
xAPI-Edu,59,0.34099676368537324,0.5972175398029924,0.0
xAPI-Edu,60,0.3614085632817382,0.6203555004547299,0.0
xAPI-Edu,61,0.3715125944239129,0.5422274499627595,0.0
